,Id,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseStyleint
0,1,3,65.0,8450,1,3,3,4,5,7,5,2003,2,2008,8,4,208500.0,2.0
1,2,3,80.0,9600,1,3,3,2,24,6,8,1976,5,2007,8,4,181500.0,1.0
2,3,3,68.0,11250,1,0,3,4,5,7,5,2002,9,2008,8,4,223500.0,2.0
3,4,3,60.0,9550,1,0,3,0,6,7,5,1970,2,2006,8,0,140000.0,2.0
4,5,3,84.0,14260,1,0,3,2,15,8,5,2000,12,2008,8,4,250000.0,2.0
5,6,3,85.0,14115,1,0,3,4,11,5,5,1995,10,2009,8,4,143000.0,1.75
6,7,3,75.0,10084,1,3,3,4,21,8,5,2005,8,2007,8,4,307000.0,1.0
7,8,3,69.25566076574722,10382,1,0,3,0,14,7,6,1973,11,2009,8,4,200000.0,2.0
8,9,4,51.0,6120,1,3,3,4,17,7,5,1950,4,2008,8,0,129900.0,1.75
9,10,3,50.0,7420,1,3,3,0,3,5,6,1950,1,2008,8,4,118000.0,1.5
10,11,3,70.0,11200,1,3,3,4,19,5,5,1965,2,2008,8,4,129500.0,1.0
11,12,3,85.0,11924,1,0,3,4,16,9,5,2006,7,2006,6,5,345000.0,2.0
12,13,3,69.25566076574722,12968,1,1,3,4,19,5,6,1962,9,2008,8,4,144000.0,1.0
13,14,3,91.0,10652,1,0,3,4,5,7,5,2007,8,2007,6,5,279500.0,1.0
14,15,3,69.25566076574722,10920,1,0,3,0,12,6,5,1960,5,2008,8,4,157000.0,1.0
15,16,4,51.0,6120,1,3,3,0,3,7,8,2001,7,2007,8,4,132000.0,1.5
16,17,3,69.25566076574722,11241,1,0,3,1,12,6,7,1970,3,2010,8,4,149000.0,1.0
17,18,3,72.0,10791,1,3,3,4,19,4,5,1967,10,2006,8,4,90000.0,1.0
18,19,3,66.0,13695,1,3,3,4,20,5,5,2004,6,2008,8,4,159000.0,1.0
19,20,3,70.0,7560,1,3,3,4,12,5,6,1965,5,2009,0,0,139000.0,1.0
20,21,3,101.0,14215,1,0,3,0,16,8,5,2006,11,2006,6,5,325300.0,2.0
21,22,4,57.0,7449,1,3,0,4,9,7,7,1950,6,2007,8,4,139400.0,1.5
22,23,3,75.0,9742,1,3,3,4,5,8,5,2002,9,2008,8,4,230000.0,1.0
23,24,4,44.0,4224,1,3,3,4,10,5,7,1976,6,2007,8,4,129900.0,1.0
24,25,3,69.25566076574722,8246,1,0,3,4,19,5,8,2001,5,2010,8,4,154000.0,1.0
25,26,3,110.0,14230,1,3,3,0,16,8,5,2007,7,2009,8,4,256300.0,1.0
26,27,3,60.0,7200,1,3,3,0,12,5,7,2000,5,2010,8,4,134800.0,1.0
27,28,3,98.0,11478,1,3,3,4,16,8,5,2008,5,2010,8,4,306000.0,1.0
28,29,3,47.0,16321,1,0,3,1,12,5,6,1997,12,2006,8,4,207500.0,1.0
29,30,4,60.0,6324,1,0,3,4,3,4,6,1950,5,2008,8,4,68500.0,1.0
30,31,0,50.0,8500,1,3,3,4,9,4,4,1950,7,2008,8,4,40000.0,2.0
31,32,3,69.25566076574722,8544,1,0,3,1,19,5,6,2006,6,2008,8,4,149350.0,1.0
32,33,3,85.0,11049,1,3,3,0,5,8,5,2007,1,2008,8,4,179900.0,1.0
33,34,3,70.0,10552,1,0,3,4,12,5,5,1959,4,2010,8,4,165500.0,1.0
34,35,3,60.0,7313,1,3,3,4,16,9,5,2005,8,2007,8,4,277500.0,1.0
35,36,3,108.0,13418,1,3,3,4,16,8,5,2005,9,2006,8,4,309000.0,2.0
36,37,3,112.0,10859,1,3,3,0,5,5,5,1995,6,2009,8,4,145000.0,1.0
37,38,3,74.0,8532,1,3,3,4,12,5,6,1990,10,2009,8,4,153000.0,1.0
38,39,3,68.0,7922,1,3,3,4,12,5,7,2007,1,2010,8,0,109000.0,1.0
39,40,3,65.0,6040,1,3,3,4,7,4,5,1955,6,2008,8,1,82000.0,1.0
40,41,3,84.0,8658,1,3,3,4,12,6,5,1965,12,2006,8,0,160000.0,1.0
41,42,3,115.0,16905,1,3,3,4,23,5,6,1959,7,2007,8,4,170000.0,1.0
42,43,3,69.25566076574722,9180,1,0,3,1,20,5,7,1983,12,2007,8,4,144000.0,1.5
43,44,3,69.25566076574722,9200,1,0,3,1,5,5,6,1980,7,2008,8,4,130250.0,1.0
44,45,3,70.0,7945,1,3,3,4,12,5,6,1959,5,2006,8,4,141000.0,1.0
45,46,3,61.0,7658,1,3,3,4,16,9,5,2005,2,2010,8,4,319900.0,1.0
46,47,3,48.0,12822,1,0,3,1,11,7,5,2003,8,2009,8,0,239686.0,1.75
47,48,1,84.0,11096,1,3,3,4,21,8,5,2006,7,2007,8,4,249700.0,1.0
48,49,4,33.0,4456,1,3,3,4,17,4,5,2008,6,2009,6,5,113000.0,2.0
49,50,3,66.0,7742,1,3,3,4,19,5,7,1966,1,2007,8,4,127000.0,1.0
50,51,3,69.25566076574722,13869,1,1,3,0,8,6,6,1997,7,2007,8,4,177000.0,2.0
51,52,4,52.0,6240,1,3,3,4,3,6,6,1950,9,2006,8,4,114500.0,1.75
52,53,4,110.0,8472,0,1,0,0,9,5,5,1963,5,2010,8,4,110000.0,1.0
53,54,3,68.0,50271,1,0,2,4,24,9,5,1987,11,2006,8,4,385000.0,1.0
54,55,3,60.0,7134,1,3,0,4,12,5,5,1955,2,2007,8,4,130000.0,1.5
55,56,3,100.0,10175,1,0,3,4,12,6,5,1964,7,2008,8,4,180500.0,1.0
